n,k,cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
2000,0,2000,2000,0,0,0,0,1
2000,1,1999,1998,1,0,0,0,2
2000,2,1998,1996,2,0,0,0,2
2000,3,1997,1994,3,0,0,0,2
2000,4,1996,1992,4,0,0,0,2
2000,5,1995,1990,5,0,0,0,2
2000,6,1994,1988,6,0,0,0,2
2000,7,1993,1986,7,0,0,0,2
2000,8,1992,1984,8,0,0,0,2
2000,9,1991,1982,9,0,0,0,2
2000,10,1990,1980,10,0,0,0,2
2000,11,1989,1978,11,0,0,0,2
2000,12,1988,1976,12,0,0,0,2
2000,13,1987,1974,13,0,0,0,2
2000,14,1986,1972,14,0,0,0,2
2000,15,1985,1970,15,0,0,0,2
2000,16,1984,1968,16,0,0,0,2
2000,17,1983,1966,17,0,0,0,2
2000,18,1982,1964,18,0,0,0,2
2000,19,1981,1962,19,0,0,0,2
2000,20,1980,1960,20,0,0,0,2
2000,21,1979,1958,21,0,0,0,2
2000,22,1978,1956,22,0,0,0,2
2000,23,1977,1954,23,0,0,0,2
2000,24,1976,1952,24,0,0,0,2
2000,25,1975,1950,25,0,0,0,2
2000,26,1974,1948,26,0,0,0,2
2000,27,1973,1946,27,0,0,0,2
2000,28,1972,1944,28,0,0,0,2
2000,29,1971,1942,29,0,0,0,2
2000,30,1970,1940,30,0,0,0,2
2000,31,1969,1938,31,0,0,0,2
2000,32,1968,1936,32,0,0,0,2
2000,33,1967,1934,33,0,0,0,2
2000,34,1966,1932,34,0,0,0,2
2000,35,1965,1930,35,0,0,0,2
2000,36,1964,1928,36,0,0,0,2
2000,37,1963,1926,37,0,0,0,2
2000,38,1962,1924,38,0,0,0,2
2000,39,1961,1922,39,0,0,0,2
2000,40,1960,1920,40,0,0,0,2
2000,41,1959,1918,41,0,0,0,2
2000,42,1958,1916,42,0,0,0,2
2000,43,1957,1914,43,0,0,0,2
2000,44,1956,1912,44,0,0,0,2
2000,45,1955,1910,45,0,0,0,2
2000,46,1954,1908,46,0,0,0,2
2000,47,1953,1907,45,1,0,0,3
2000,48,1952,1905,46,1,0,0,3
2000,49,1951,1903,47,1,0,0,3
2000,50,1950,1902,46,2,0,0,3
2000,51,1949,1900,47,2,0,0,3
2000,52,1948,1898,48,2,0,0,3
2000,53,1947,1896,49,2,0,0,3
2000,54,1946,1894,50,2,0,0,3
2000,55,1945,1892,51,2,0,0,3
2000,56,1944,1890,52,2,0,0,3
2000,57,1943,1888,53,2,0,0,3
2000,58,1942,1886,54,2,0,0,3
2000,59,1941,1884,55,2,0,0,3
2000,60,1940,1882,56,2,0,0,3
