k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.8,0.19999999999999996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.7990006247396648,0.1990024958385364,0.9980031205782012,0.00049875156119873,0.000495024916874584,0.0,0.000993776478073314,6.226606390432319e-07,2.462779849007657e-06,0.0,0.0,3.085440488050889e-06,1.0364713324923773e-09,1.63366445551126e-08,0.0,0.0,0.0,1.7373115887604978e-08,2.0218292045560603e-12,1.2699347812868924e-10,0.0,0.0,0.0,0.0,1.290153073332453e-10,1.096112920795477e-12,1.0072668854762742e-14,9.762856132444619e-17,9.844841491906822e-19,1.0239745380511211e-20
2,0.0,0.0,0.0,0.0,0.7980024979179681,0.19800996674983357,0.9960124646678017,0.0009950124791926823,0.0009801986733067552,0.0,0.0019752111524994377,2.481320137047846e-06,9.704455335485083e-06,0.0,0.0,1.218577547253293e-05,8.250415281243065e-09,1.2810525855364316e-07,0.0,0.0,0.0,1.3635567383488622e-07,3.214771485982687e-11,1.9817279677098225e-09,0.0,0.0,0.0,0.0,2.0138756825696493e-09,3.4042054575539665e-11,6.224948923313467e-13,1.2006554772930072e-14,2.4093860016980456e-16,4.987060736795523e-18
3,0.0,0.0,0.0,0.0,0.7970056179753369,0.1970223879206125,0.9940280058959494,0.0014887920822287076,0.0014556683003227623,0.0,0.00294446038255147,5.562073375938186e-06,2.1509943341244753e-05,0.0,0.0,2.7072016717182937e-05,2.7706273301336128e-08,4.237940401129121e-07,0.0,0.0,0.0,4.515003134142482e-07,1.6173380474359119e-10,9.784794582371461e-09,0.0,0.0,0.0,0.0,9.946528387115052e-09,2.5089005005659933e-10,6.846914676537238e-12,1.971010184601492e-13,5.903290793784486e-15,1.8236921882510625e-16
4,0.0,0.0,0.0,0.0,0.7960099833541459,0.196039734661351,0.9920497180154968,0.001980099667498336,0.0019215788783046464,0.0,0.0039016785458029822,9.851119396030625e-06,3.767058134336996e-05,0.0,0.0,4.752170073940058e-05,6.534657822045034e-08,9.846574361457454e-07,0.0,0.0,0.0,1.0500040143661957e-06,5.079739125147567e-10,3.016124726786534e-08,0.0,0.0,0.0,0.0,3.0669221180380096e-08,1.0260993479991347e-09,3.714832362419428e-11,1.4187039488181878e-12,5.637178993215157e-14,2.3103922897696566e-15
5,0.0,0.0,0.0,0.0,0.7950155924987158,0.19506198240566647,0.9900775749043822,0.0024689445012347037,0.002378073561251785,0.0,0.004847018062486489,1.533476074605902e-05,5.7983967895534564e-05,0.0,0.0,7.331872864159359e-05,1.2699347812868915e-07,1.8850779542415836e-06,0.0,0.0,0.0,2.0120714323702727e-06,1.2324437897699278e-09,7.181778178585578e-08,0.0,0.0,0.0,0.0,7.305022557562572e-08,3.0391539420209085e-09,1.3683950895514668e-10,6.4997062446365e-12,3.212178852499097e-13,1.6374249882529327e-14
6,0.0,0.0,0.0,0.0,0.7940224438553107,0.1940891067097016,0.9881115505650123,0.002955335818809188,0.002825293600752746,0.0,0.0057806294195619345,2.1999402836850067e-05,8.225380667441055e-05,0.0,0.0,0.00010425320951126061,2.1835024504841427e-07,3.1929135721817682e-06,0.0,0.0,0.0,3.4112638172301827e-06,2.539672781099823e-09,1.452444710217286e-07,0.0,0.0,0.0,0.0,1.4778414380282843e-07,7.339612035875331e-09,3.9455860964725115e-10,2.237661669946607e-11,1.3204060705923677e-12,8.036708374665319e-14
7,0.0,0.0,0.0,0.0,0.7930305358721359,0.19312108325151325,0.9861516191236491,0.003439282824827756,0.0032633783696708186,0.0,0.006702661194498575,2.9831553298629555e-05,0.00011028975401681758,0.0,0.0,0.00014012130731544715,3.4500276851702633e-07,4.969831245696509e-06,0.0,0.0,0.0,5.314834014213536e-06,4.675742462795396e-09,2.624396232899568e-07,0.0,0.0,0.0,0.0,2.671153657527522e-07,1.5396506923585022e-08,9.607383897768933e-10,6.32490541890409e-11,4.332511176560939e-12,3.061152101468805e-13
8,0.0,0.0,0.0,0.0,0.7920398669993345,0.19215788783046459,0.9841977548297991,0.003920794693227021,0.0036924653855465433,0.0,0.007613260078773564,3.881782134194032e-05,0.00014190726987474523,0.0,0.0,0.00018072509121668553,5.124210342145723e-07,7.271626999178341e-06,0.0,0.0,0.0,7.784048033392914e-06,7.926911870839283e-09,4.366564016415907e-07,0.0,0.0,0.0,0.0,4.4458331351243e-07,2.913386356319358e-08,2.0671408034604863e-09,1.5474971844739223e-10,1.2054054983829816e-11,9.684964588714678e-13
9,0.0,0.0,0.0,0.0,0.7910504356889865,0.19119949636661993,0.9822499320556064,0.004399880567370013,0.0041126903337205265,0.0,0.00851257090109054,4.89449171221531e-05,0.00017692747211682698,0.0,0.0,0.00022587238923898009,7.259605877670099e-07,1.0148533068646957e-05,0.0,0.0,0.0,1.0874493656413966e-05,1.2618268928747885e-08,6.821699103229525e-07,0.0,0.0,0.0,0.0,6.947881792517004e-07,5.095395022858353e-08,4.04667929142025e-09,3.391016078883548e-10,2.956727413150554e-11,2.659232787682557e-12
