empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_bb,best_alpha,min_error,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
99.972,99.9901847913733,0.098,0.44,0.37000000000000005,0.4821196014032915,0.0006796015002031102,0.53,0.48,0.45,100
199.84400000000002,199.988773344558,0.1995,0.42000000000000004,0.35,0.5135800642808847,0.001220929704998452,0.53,0.48,0.45,200
299.59899999999993,299.91602793648644,0.3005,0.46,0.4,0.5297476967268029,0.0010866308447726233,0.53,0.48,0.45,300
399.07700000000017,399.7508285885133,0.4,0.43,0.37000000000000005,0.529888398451552,0.0012850182424857955,0.53,0.48,0.45,400
497.666,499.6466911930556,0.4995,0.5,0.42,0.5401873402002841,0.001296347538923335,0.53,0.48,0.45,500
592.05,658.6192460781651,0.6575,0.68,0.30999999999999994,0.8477232739958467,0.0005151262072871957,0.53,0.48,0.45,600
673.8230000000002,728.6173304045524,0.728,0.67,0.30999999999999994,0.7880982943533996,0.0004113092182274716,0.53,0.48,0.45,700
739.8290000000001,826.9434606715097,0.8285,0.8,0.18999999999999995,0.8791251758945008,0.00047791333145803393,0.53,0.48,0.45,800
792.0750000000007,969.3594236770092,0.9734999999999999,0.7000000000000001,0.2899999999999999,0.8236170250938883,0.00037311868282241084,0.53,0.48,0.45,900
833.3140000000003,1075.6779921339612,1.08,0.7000000000000001,0.2899999999999999,0.817410699683256,0.0004024001667615949,0.53,0.48,0.45,1000
865.4889999999999,1140.4885494446085,1.1435,0.22,0.78,0.29254627770196234,0.0001943185629666834,0.53,0.48,0.45,1100
891.1239999999998,1235.993008992126,1.2385,0.9,0.09999999999999998,0.8531414311628738,0.00014040766870035605,0.53,0.48,0.45,1200
911.5619999999998,1354.1169982532053,1.3585,0.9400000000000001,0.05999999999999994,0.9004175537773486,0.00012337044672817204,0.53,0.48,0.45,1300
927.853999999999,1456.1672981484771,1.46,0.9600000000000001,0.039999999999999925,0.9288037502485947,0.0002118664170468715,0.53,0.48,0.45,1400
940.6729999999995,1500.2032257136643,1.4989999999999999,0.8400000000000001,0.15999999999999992,0.8090033735975903,0.0006857907131153532,0.53,0.48,0.45,1500
